,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Sales,InvoiceYear,InvoiceMonth,InvoiceDay,InvoiceTime,DayOfWeek,InvoiceHour,DayPeriod
1093,547563,22570,FELTCRAFT CUSHION RABBIT,4,2011-03-24 08:56:00,3.75,15651,United Kingdom,15.0,2011,3,24,08:56:00,Thursday,8,Morning
1094,547569,21500,PINK POLKADOT WRAP ,25,2011-03-24 09:50:00,0.42,17491,United Kingdom,10.5,2011,3,24,09:50:00,Thursday,9,Morning
1095,547580,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,2011-03-24 10:48:00,3.95,13488,United Kingdom,15.8,2011,3,24,10:48:00,Thursday,10,Morning
1096,547639,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,24,2011-03-24 11:34:00,1.25,17698,United Kingdom,30.0,2011,3,24,11:34:00,Thursday,11,Morning
1097,547649,20754,RETROSPOT RED WASHING UP GLOVES,3,2011-03-24 12:02:00,2.1,18118,United Kingdom,6.300000000000001,2011,3,24,12:02:00,Thursday,12,Morning
1098,547649,84596F,SMALL MARSHMALLOWS PINK BOWL,8,2011-03-24 12:02:00,0.42,18118,United Kingdom,3.36,2011,3,24,12:02:00,Thursday,12,Morning
1099,547650,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,2011-03-24 12:08:00,1.95,17059,United Kingdom,1.95,2011,3,24,12:08:00,Thursday,12,Morning
1100,547651,22084,PAPER CHAIN KIT EMPIRE,1,2011-03-24 12:11:00,2.95,16904,United Kingdom,2.95,2011,3,24,12:11:00,Thursday,12,Morning
1101,547651,22285,HANGING HEN ON NEST DECORATION,1,2011-03-24 12:11:00,1.65,16904,United Kingdom,1.65,2011,3,24,12:11:00,Thursday,12,Morning
1102,547653,22722,SET OF 6 SPICE TINS PANTRY DESIGN,5,2011-03-24 12:21:00,3.95,16745,United Kingdom,19.75,2011,3,24,12:21:00,Thursday,12,Morning
1104,547686,21202,DOLLY HONEYCOMB GARLAND,12,2011-03-24 14:49:00,1.65,15513,United Kingdom,19.799999999999997,2011,3,24,14:49:00,Thursday,14,Afternoon
1105,547705,23194,GYMKHANA TREASURE BOOK BOX,1,2011-03-24 18:20:00,2.25,14056,United Kingdom,2.25,2011,3,24,18:20:00,Thursday,18,Afternoon
1106,547709,21218,RED SPOTTY BISCUIT TIN,2,2011-03-24 18:43:00,3.75,18109,United Kingdom,7.5,2011,3,24,18:43:00,Thursday,18,Afternoon
1108,547716,22084,PAPER CHAIN KIT EMPIRE,15,2011-03-25 08:52:00,2.95,16833,United Kingdom,44.25,2011,3,25,08:52:00,Friday,8,Morning
1110,547772,85099C,JUMBO  BAG BAROQUE BLACK WHITE,1,2011-03-25 11:34:00,1.95,17979,United Kingdom,1.95,2011,3,25,11:34:00,Friday,11,Morning
1111,547772,85227,SET OF 6 3D KIT CARDS FOR KIDS,3,2011-03-25 11:34:00,0.85,17979,United Kingdom,2.55,2011,3,25,11:34:00,Friday,11,Morning
1112,547793,84692,BOX OF 24 COCKTAIL PARASOLS,25,2011-03-25 12:10:00,0.42,14758,United Kingdom,10.5,2011,3,25,12:10:00,Friday,12,Morning
1113,547799,22996,TRAVEL CARD WALLET VINTAGE TICKET,24,2011-03-25 12:48:00,0.42,17139,United Kingdom,10.08,2011,3,25,12:48:00,Friday,12,Morning
1114,547805,22325,MOBILE VINTAGE HEARTS ,3,2011-03-25 13:35:00,4.95,13327,United Kingdom,14.850000000000001,2011,3,25,13:35:00,Friday,13,Afternoon
1115,547809,21328,BALLOONS  WRITING SET ,1,2011-03-25 13:54:00,1.65,12748,United Kingdom,1.65,2011,3,25,13:54:00,Friday,13,Afternoon
1116,547822,22982,PANTRY PASTRY BRUSH,12,2011-03-25 14:53:00,1.25,12668,Germany,15.0,2011,3,25,14:53:00,Friday,14,Afternoon
1117,547826,22699,ROSES REGENCY TEACUP AND SAUCER ,1,2011-03-25 15:08:00,2.95,18078,United Kingdom,2.95,2011,3,25,15:08:00,Friday,15,Afternoon
1118,547829,21136,PAINTED METAL PEARS ASSORTED,16,2011-03-25 15:24:00,1.69,16081,United Kingdom,27.04,2011,3,25,15:24:00,Friday,15,Afternoon
1119,547841,22464,HANGING METAL HEART LANTERN,3,2011-03-27 11:02:00,1.65,16923,United Kingdom,4.949999999999999,2011,3,27,11:02:00,Sunday,11,Morning
1120,547860,22934,BAKING MOULD EASTER EGG WHITE CHOC,2,2011-03-27 12:21:00,2.95,17625,United Kingdom,5.9,2011,3,27,12:21:00,Sunday,12,Morning
1121,547867,21586,KINGS CHOICE GIANT TUBE MATCHES,3,2011-03-27 13:56:00,2.55,13357,United Kingdom,7.6499999999999995,2011,3,27,13:56:00,Sunday,13,Afternoon
1122,547867,85049C,ROMANTIC PINKS RIBBONS ,2,2011-03-27 13:56:00,1.25,13357,United Kingdom,2.5,2011,3,27,13:56:00,Sunday,13,Afternoon
1123,547872,22642,SET OF 4 NAPKIN CHARMS STARS   ,1,2011-03-27 14:34:00,2.55,16777,United Kingdom,2.55,2011,3,27,14:34:00,Sunday,14,Afternoon
1124,547879,15044C,PURPLE PAPER PARASOL,12,2011-03-27 16:03:00,2.95,12877,United Kingdom,35.400000000000006,2011,3,27,16:03:00,Sunday,16,Afternoon
1126,547881,22499,WOODEN UNION JACK BUNTING,3,2011-03-27 16:08:00,5.95,13110,United Kingdom,17.85,2011,3,27,16:08:00,Sunday,16,Afternoon
1127,547883,22508,DOORSTOP RETROSPOT HEART,4,2011-03-28 08:40:00,3.75,14755,United Kingdom,15.0,2011,3,28,08:40:00,Monday,8,Morning
1128,547883,22728,ALARM CLOCK BAKELIKE PINK,4,2011-03-28 08:40:00,3.75,14755,United Kingdom,15.0,2011,3,28,08:40:00,Monday,8,Morning
1129,547886,21110,LARGE CAKE TOWEL PINK SPOTS,2,2011-03-28 09:21:00,6.75,13652,United Kingdom,13.5,2011,3,28,09:21:00,Monday,9,Morning
1130,547891,22383,LUNCH BAG SUKI DESIGN ,10,2011-03-28 10:14:00,1.65,13266,United Kingdom,16.5,2011,3,28,10:14:00,Monday,10,Morning
1131,547892,21983,PACK OF 12 BLUE PAISLEY TISSUES ,24,2011-03-28 10:15:00,0.29,12669,France,6.959999999999999,2011,3,28,10:15:00,Monday,10,Morning
1132,547892,22892,SET OF SALT AND PEPPER TOADSTOOLS,12,2011-03-28 10:15:00,1.25,12669,France,15.0,2011,3,28,10:15:00,Monday,10,Morning
1133,547896,22087,PAPER BUNTING WHITE LACE,1,2011-03-28 11:34:00,2.95,17841,United Kingdom,2.95,2011,3,28,11:34:00,Monday,11,Morning
1135,547906,22433,WATERING CAN GREEN DINOSAUR,1,2011-03-28 12:13:00,1.95,14410,United Kingdom,1.95,2011,3,28,12:13:00,Monday,12,Morning
1136,547906,47599B,BLUE PARTY BAGS ,4,2011-03-28 12:13:00,2.1,14410,United Kingdom,8.4,2011,3,28,12:13:00,Monday,12,Morning
1137,547909,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,2,2011-03-28 12:22:00,2.95,15033,United Kingdom,5.9,2011,3,28,12:22:00,Monday,12,Morning
1138,547910,22197,SMALL POPCORN HOLDER,20,2011-03-28 12:23:00,0.85,14159,United Kingdom,17.0,2011,3,28,12:23:00,Monday,12,Morning
1139,547910,22356,CHARLOTTE BAG PINK POLKADOT,2,2011-03-28 12:23:00,0.85,14159,United Kingdom,1.7,2011,3,28,12:23:00,Monday,12,Morning
1141,547918,22383,LUNCH BAG SUKI DESIGN ,10,2011-03-28 12:49:00,1.65,15249,United Kingdom,16.5,2011,3,28,12:49:00,Monday,12,Morning
1143,547925,22961,JAM MAKING SET PRINTED,24,2011-03-28 13:57:00,1.45,12481,Germany,34.8,2011,3,28,13:57:00,Monday,13,Afternoon
1145,547937,22249,DECORATION WHITE CHICK MAGIC GARDEN,2,2011-03-28 14:27:00,0.85,15068,United Kingdom,1.7,2011,3,28,14:27:00,Monday,14,Afternoon
1146,547937,22560,TRADITIONAL MODELLING CLAY,6,2011-03-28 14:27:00,1.25,15068,United Kingdom,7.5,2011,3,28,14:27:00,Monday,14,Afternoon
1147,547938,21613,S/12 VANILLA  BOTANICAL T-LIGHTS,6,2011-03-28 14:33:00,2.95,13901,United Kingdom,17.700000000000003,2011,3,28,14:33:00,Monday,14,Afternoon
1148,547940,22477,WATERING CAN GARDEN MARKER,10,2011-03-28 14:43:00,1.25,16814,United Kingdom,12.5,2011,3,28,14:43:00,Monday,14,Afternoon
1149,547946,22499,WOODEN UNION JACK BUNTING,12,2011-03-28 14:59:00,5.95,12971,United Kingdom,71.4,2011,3,28,14:59:00,Monday,14,Afternoon
1150,547960,22719,GUMBALL MONOCHROME COAT RACK,1,2011-03-28 15:27:00,1.25,15644,United Kingdom,1.25,2011,3,28,15:27:00,Monday,15,Afternoon
1151,547962,85049D,BRIGHT BLUES RIBBONS ,12,2011-03-28 15:38:00,1.25,12957,United Kingdom,15.0,2011,3,28,15:38:00,Monday,15,Afternoon
1152,547963,22918,HERB MARKER PARSLEY,12,2011-03-28 15:42:00,0.65,13037,United Kingdom,7.800000000000001,2011,3,28,15:42:00,Monday,15,Afternoon
1153,547987,22663,JUMBO BAG DOLLY GIRL DESIGN,10,2011-03-29 09:11:00,1.95,17428,United Kingdom,19.5,2011,3,29,09:11:00,Tuesday,9,Morning
1156,548154,21175,GIN + TONIC DIET METAL SIGN,12,2011-03-29 13:06:00,2.55,17675,United Kingdom,30.599999999999998,2011,3,29,13:06:00,Tuesday,13,Afternoon
1158,548176,22178,VICTORIAN GLASS HANGING T-LIGHT,6,2011-03-29 14:20:00,1.25,13439,United Kingdom,7.5,2011,3,29,14:20:00,Tuesday,14,Afternoon
1159,548176,85204,HANGING WOOD AND FELT FLOWER,5,2011-03-29 14:20:00,0.42,13439,United Kingdom,2.1,2011,3,29,14:20:00,Tuesday,14,Afternoon
1161,548185,21181,PLEASE ONE PERSON METAL SIGN,12,2011-03-29 14:58:00,2.1,15628,United Kingdom,25.200000000000003,2011,3,29,14:58:00,Tuesday,14,Afternoon
1162,548188,21165,BEWARE OF THE CAT METAL SIGN ,4,2011-03-29 15:12:00,1.69,13263,United Kingdom,6.76,2011,3,29,15:12:00,Tuesday,15,Afternoon
1163,548199,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2011-03-29 16:12:00,1.95,16945,United Kingdom,19.5,2011,3,29,16:12:00,Tuesday,16,Afternoon
1164,548210,22297,HEART IVORY TRELLIS SMALL,1,2011-03-29 17:23:00,1.25,14606,United Kingdom,1.25,2011,3,29,17:23:00,Tuesday,17,Afternoon
1166,548255,21463,MIRRORED DISCO BALL ,2,2011-03-30 10:46:00,5.95,13078,United Kingdom,11.9,2011,3,30,10:46:00,Wednesday,10,Morning
1167,548257,22784,LANTERN CREAM GAZEBO ,12,2011-03-30 10:54:00,4.25,13802,United Kingdom,51.0,2011,3,30,10:54:00,Wednesday,10,Morning
1169,548259,37446,MINI CAKE STAND WITH HANGING CAKES,3,2011-03-30 11:12:00,1.45,14099,United Kingdom,4.35,2011,3,30,11:12:00,Wednesday,11,Morning
1170,548260,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",5,2011-03-30 11:18:00,4.95,15373,United Kingdom,24.75,2011,3,30,11:18:00,Wednesday,11,Morning
1171,548289,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,2011-03-30 11:48:00,3.95,13988,United Kingdom,15.8,2011,3,30,11:48:00,Wednesday,11,Morning
1173,548320,21452,TOADSTOOL MONEY BOX,20,2011-03-30 12:54:00,2.95,12709,Germany,59.0,2011,3,30,12:54:00,Wednesday,12,Morning
1174,548327,85099C,JUMBO  BAG BAROQUE BLACK WHITE,2,2011-03-30 13:05:00,2.08,16788,United Kingdom,4.16,2011,3,30,13:05:00,Wednesday,13,Afternoon
1176,548367,22726,ALARM CLOCK BAKELIKE GREEN,4,2011-03-30 15:51:00,3.75,17677,United Kingdom,15.0,2011,3,30,15:51:00,Wednesday,15,Afternoon
1177,548388,21721,CANDY SHOP  STICKER SHEET,2,2011-03-30 16:52:00,0.85,13268,United Kingdom,1.7,2011,3,30,16:52:00,Wednesday,16,Afternoon
1179,548405,22854,CREAM SWEETHEART EGG HOLDER,4,2011-03-31 09:48:00,4.95,17088,United Kingdom,19.8,2011,3,31,09:48:00,Thursday,9,Morning
1182,548468,47566,PARTY BUNTING,4,2011-03-31 12:28:00,4.95,14818,United Kingdom,19.8,2011,3,31,12:28:00,Thursday,12,Morning
1183,548491,22804,CANDLEHOLDER PINK HANGING HEART,3,2011-03-31 13:14:00,2.95,14064,United Kingdom,8.850000000000001,2011,3,31,13:14:00,Thursday,13,Afternoon
1184,548497,22037,ROBOT BIRTHDAY CARD,24,2011-03-31 13:43:00,0.42,13089,United Kingdom,10.08,2011,3,31,13:43:00,Thursday,13,Afternoon
1185,548500,85150,LADIES & GENTLEMEN METAL SIGN,12,2011-03-31 13:49:00,2.55,17071,United Kingdom,30.599999999999998,2011,3,31,13:49:00,Thursday,13,Afternoon
1186,548544,85099C,JUMBO  BAG BAROQUE BLACK WHITE,3,2011-03-31 18:49:00,2.08,14525,United Kingdom,6.24,2011,3,31,18:49:00,Thursday,18,Afternoon
1187,548550,22296,HEART IVORY TRELLIS LARGE,12,2011-04-01 08:22:00,1.65,18161,United Kingdom,19.799999999999997,2011,4,1,08:22:00,Friday,8,Morning
1189,548612,20974,12 PENCILS SMALL TUBE SKULL,4,2011-04-01 11:34:00,0.65,13137,United Kingdom,2.6,2011,4,1,11:34:00,Friday,11,Morning
1190,548612,21972,SET OF 36 DINOSAUR PAPER DOILIES,2,2011-04-01 11:34:00,1.45,13137,United Kingdom,2.9,2011,4,1,11:34:00,Friday,11,Morning
1191,548612,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,4,2011-04-01 11:34:00,1.25,13137,United Kingdom,5.0,2011,4,1,11:34:00,Friday,11,Morning
1192,548614,85188A,GREEN METAL SWINGING BUNNY,6,2011-04-01 11:47:00,0.85,14419,United Kingdom,5.1,2011,4,1,11:47:00,Friday,11,Morning
1194,548656,22439,6 ROCKET BALLOONS ,1,2011-04-01 14:05:00,0.65,12748,United Kingdom,0.65,2011,4,1,14:05:00,Friday,14,Afternoon
1195,548659,23003,TRAVEL CARD WALLET VINTAGE ROSE ,24,2011-04-01 14:19:00,0.42,13418,United Kingdom,10.08,2011,4,1,14:19:00,Friday,14,Afternoon
1196,548660,22695,WICKER WREATH SMALL,12,2011-04-01 14:24:00,1.45,13169,United Kingdom,17.4,2011,4,1,14:24:00,Friday,14,Afternoon
1199,548666,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,2011-04-01 14:58:00,0.95,13124,United Kingdom,11.399999999999999,2011,4,1,14:58:00,Friday,14,Afternoon
1200,548698,21090,SET/6 COLLAGE PAPER PLATES,5,2011-04-03 10:55:00,0.39,18109,United Kingdom,1.9500000000000002,2011,4,3,10:55:00,Sunday,10,Morning
1201,548698,22197,SMALL POPCORN HOLDER,6,2011-04-03 10:55:00,0.85,18109,United Kingdom,5.1,2011,4,3,10:55:00,Sunday,10,Morning
1202,548701,22070,SMALL RED RETROSPOT MUG IN BOX ,3,2011-04-03 11:36:00,3.75,17629,United Kingdom,11.25,2011,4,3,11:36:00,Sunday,11,Morning
1204,548708,22197,SMALL POPCORN HOLDER,22,2011-04-03 12:41:00,0.85,13269,United Kingdom,18.7,2011,4,3,12:41:00,Sunday,12,Morning
1205,548711,21786,POLKADOT RAIN HAT ,1,2011-04-03 14:24:00,0.42,18116,United Kingdom,0.42,2011,4,3,14:24:00,Sunday,14,Afternoon
1206,548711,21976,PACK OF 60 MUSHROOM CAKE CASES,1,2011-04-03 14:24:00,0.55,18116,United Kingdom,0.55,2011,4,3,14:24:00,Sunday,14,Afternoon
1207,548711,22467,GUMBALL COAT RACK,4,2011-04-03 14:24:00,2.55,18116,United Kingdom,10.2,2011,4,3,14:24:00,Sunday,14,Afternoon
1208,548712,21035,SET/2 RED RETROSPOT TEA TOWELS ,2,2011-04-03 14:42:00,3.25,17050,United Kingdom,6.5,2011,4,3,14:42:00,Sunday,14,Afternoon
1209,548714,21249,WOODLAND  HEIGHT CHART STICKERS ,1,2011-04-03 15:07:00,2.95,17337,United Kingdom,2.95,2011,4,3,15:07:00,Sunday,15,Afternoon
1210,548714,22980,PANTRY SCRUBBING BRUSH,2,2011-04-03 15:07:00,1.65,17337,United Kingdom,3.3,2011,4,3,15:07:00,Sunday,15,Afternoon
1211,548715,20971,PINK BLUE FELT CRAFT TRINKET BOX,3,2011-04-03 15:22:00,1.25,17758,United Kingdom,3.75,2011,4,3,15:22:00,Sunday,15,Afternoon
1212,548728,23006,TRAVEL CARD WALLET FLOWER MEADOW,24,2011-04-04 09:55:00,0.42,13198,United Kingdom,10.08,2011,4,4,09:55:00,Monday,9,Morning
1215,548768,84509G,SET OF 4 FAIRY CAKE PLACEMATS ,1,2011-04-04 12:34:00,3.75,17886,United Kingdom,3.75,2011,4,4,12:34:00,Monday,12,Morning
1216,548807,22499,WOODEN UNION JACK BUNTING,3,2011-04-04 12:54:00,5.95,16422,United Kingdom,17.85,2011,4,4,12:54:00,Monday,12,Morning
1217,548860,22921,HERB MARKER CHIVES ,1,2011-04-04 13:38:00,0.65,13263,United Kingdom,0.65,2011,4,4,13:38:00,Monday,13,Afternoon
1218,548864,21892,TRADITIONAL WOODEN CATCH CUP GAME ,1,2011-04-04 14:00:00,1.25,15756,United Kingdom,1.25,2011,4,4,14:00:00,Monday,14,Afternoon
1219,548867,21212,PACK OF 72 RETROSPOT CAKE CASES,2,2011-04-04 14:17:00,0.55,14719,United Kingdom,1.1,2011,4,4,14:17:00,Monday,14,Afternoon
1221,548868,22990,COTTON APRON PANTRY DESIGN,2,2011-04-04 14:28:00,4.95,13015,United Kingdom,9.9,2011,4,4,14:28:00,Monday,14,Afternoon
1222,548870,21188,3D HEARTS  HONEYCOMB PAPER GARLAND,4,2011-04-04 14:41:00,2.95,14606,United Kingdom,11.8,2011,4,4,14:41:00,Monday,14,Afternoon
1223,548870,22078,RIBBON REEL LACE DESIGN ,1,2011-04-04 14:41:00,2.1,14606,United Kingdom,2.1,2011,4,4,14:41:00,Monday,14,Afternoon
1224,548874,22960,JAM MAKING SET WITH JARS,6,2011-04-04 15:18:00,4.25,17716,United Kingdom,25.5,2011,4,4,15:18:00,Monday,15,Afternoon
1225,548896,22698,PINK REGENCY TEACUP AND SAUCER,6,2011-04-04 16:21:00,2.95,13767,United Kingdom,17.700000000000003,2011,4,4,16:21:00,Monday,16,Afternoon
1226,548952,22293,HANGING CHICK GREEN DECORATION,3,2011-04-05 10:46:00,1.45,15572,United Kingdom,4.35,2011,4,5,10:46:00,Tuesday,10,Morning
1227,548952,22766,PHOTO FRAME CORNICE,16,2011-04-05 10:46:00,2.95,15572,United Kingdom,47.2,2011,4,5,10:46:00,Tuesday,10,Morning
1228,548968,22386,JUMBO BAG PINK POLKADOT,20,2011-04-05 10:58:00,2.08,12744,Singapore,41.6,2011,4,5,10:58:00,Tuesday,10,Morning
1230,548974,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,2011-04-05 11:47:00,3.95,15194,United Kingdom,15.8,2011,4,5,11:47:00,Tuesday,11,Morning
1231,548983,21038,SET/4 MODERN VINTAGE COTTON NAPKINS,1,2011-04-05 12:30:00,0.79,16906,United Kingdom,0.79,2011,4,5,12:30:00,Tuesday,12,Morning
1232,548987,22156,HEART DECORATION WITH PEARLS ,12,2011-04-05 12:50:00,0.85,14535,United Kingdom,10.2,2011,4,5,12:50:00,Tuesday,12,Morning
1233,548987,22804,CANDLEHOLDER PINK HANGING HEART,4,2011-04-05 12:50:00,2.95,14535,United Kingdom,11.8,2011,4,5,12:50:00,Tuesday,12,Morning
1234,549021,22055,MINI CAKE STAND  HANGING STRAWBERY,8,2011-04-05 16:13:00,1.65,13468,United Kingdom,13.2,2011,4,5,16:13:00,Tuesday,16,Afternoon
1235,549053,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-04-06 10:20:00,1.69,13863,United Kingdom,13.52,2011,4,6,10:20:00,Wednesday,10,Morning
1236,549099,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,1,2011-04-06 11:07:00,3.75,16241,United Kingdom,3.75,2011,4,6,11:07:00,Wednesday,11,Morning
1237,549101,84978,HANGING HEART JAR T-LIGHT HOLDER,10,2011-04-06 11:34:00,1.25,14606,United Kingdom,12.5,2011,4,6,11:34:00,Wednesday,11,Morning
1238,549104,21884,CAKES AND BOWS GIFT  TAPE,12,2011-04-06 11:43:00,0.65,15311,United Kingdom,7.800000000000001,2011,4,6,11:43:00,Wednesday,11,Morning
1240,549116,21870,I CAN ONLY PLEASE ONE PERSON MUG,12,2011-04-06 12:49:00,1.25,16670,United Kingdom,15.0,2011,4,6,12:49:00,Wednesday,12,Morning
1241,549118,21481,FAWN BLUE HOT WATER BOTTLE,6,2011-04-06 13:18:00,2.95,14911,EIRE,17.700000000000003,2011,4,6,13:18:00,Wednesday,13,Afternoon
1242,549118,71459,HANGING JAM JAR T-LIGHT HOLDER,12,2011-04-06 13:18:00,0.85,14911,EIRE,10.2,2011,4,6,13:18:00,Wednesday,13,Afternoon
1243,549120,20676,RED RETROSPOT BOWL,1,2011-04-06 13:28:00,1.25,14587,United Kingdom,1.25,2011,4,6,13:28:00,Wednesday,13,Afternoon
1244,549120,21754,HOME BUILDING BLOCK WORD,1,2011-04-06 13:28:00,5.95,14587,United Kingdom,5.95,2011,4,6,13:28:00,Wednesday,13,Afternoon
1245,549125,22264,FELT FARM ANIMAL WHITE BUNNY ,9,2011-04-06 14:13:00,0.85,14964,United Kingdom,7.6499999999999995,2011,4,6,14:13:00,Wednesday,14,Afternoon
1247,549129,22418,10 COLOUR SPACEBOY PEN,12,2011-04-06 14:53:00,0.85,17042,United Kingdom,10.2,2011,4,6,14:53:00,Wednesday,14,Afternoon
1248,549148,23232,WRAP VINTAGE PETALS  DESIGN,25,2011-04-06 15:31:00,0.42,14534,United Kingdom,10.5,2011,4,6,15:31:00,Wednesday,15,Afternoon
1249,549169,22109,FULL ENGLISH BREAKFAST PLATE,2,2011-04-06 17:25:00,3.75,17906,United Kingdom,7.5,2011,4,6,17:25:00,Wednesday,17,Afternoon
1252,549238,23254,CHILDRENS CUTLERY DOLLY GIRL ,2,2011-04-07 11:30:00,4.15,14667,United Kingdom,8.3,2011,4,7,11:30:00,Thursday,11,Morning
1253,549238,84997C,CHILDRENS CUTLERY POLKADOT BLUE,2,2011-04-07 11:30:00,4.15,14667,United Kingdom,8.3,2011,4,7,11:30:00,Thursday,11,Morning
1254,549245,20728,LUNCH BAG CARS BLUE,2,2011-04-07 11:59:00,1.65,15005,United Kingdom,3.3,2011,4,7,11:59:00,Thursday,11,Morning
1255,549247,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,24,2011-04-07 12:04:00,0.95,13752,United Kingdom,22.799999999999997,2011,4,7,12:04:00,Thursday,12,Morning
1256,549250,85027L,FRENCH CHATEAU LARGE PLATTER ,1,2011-04-07 12:10:00,1.95,14446,United Kingdom,1.95,2011,4,7,12:10:00,Thursday,12,Morning
1257,549251,21043,APRON MODERN VINTAGE COTTON,3,2011-04-07 12:16:00,1.95,14449,United Kingdom,5.85,2011,4,7,12:16:00,Thursday,12,Morning
1258,549258,22977,DOLLY GIRL CHILDRENS EGG CUP,12,2011-04-07 12:30:00,1.25,13102,United Kingdom,15.0,2011,4,7,12:30:00,Thursday,12,Morning
1259,549259,22970,LONDON BUS COFFEE MUG,6,2011-04-07 12:33:00,2.55,13712,United Kingdom,15.299999999999999,2011,4,7,12:33:00,Thursday,12,Morning
1260,549260,21324,HANGING MEDINA LANTERN SMALL,2,2011-04-07 12:34:00,2.95,17790,United Kingdom,5.9,2011,4,7,12:34:00,Thursday,12,Morning
1261,549261,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-04-07 12:35:00,1.69,14903,United Kingdom,13.52,2011,4,7,12:35:00,Thursday,12,Morning
1262,549276,21930,JUMBO STORAGE BAG SKULLS,5,2011-04-07 13:11:00,2.08,16745,United Kingdom,10.4,2011,4,7,13:11:00,Thursday,13,Afternoon
1263,549279,15060B,FAIRY CAKE DESIGN UMBRELLA,1,2011-04-07 13:16:00,3.75,16469,United Kingdom,3.75,2011,4,7,13:16:00,Thursday,13,Afternoon
1264,549279,22071,SMALL WHITE RETROSPOT MUG IN BOX ,2,2011-04-07 13:16:00,3.75,16469,United Kingdom,7.5,2011,4,7,13:16:00,Thursday,13,Afternoon
1266,549294,22994,TRAVEL CARD WALLET RETROSPOT,5,2011-04-07 19:27:00,0.42,13230,United Kingdom,2.1,2011,4,7,19:27:00,Thursday,19,Evening
1268,549317,47566,PARTY BUNTING,4,2011-04-08 09:58:00,4.95,15109,United Kingdom,19.8,2011,4,8,09:58:00,Friday,9,Morning
1269,549325,21114,LAVENDER SCENTED FABRIC HEART,10,2011-04-08 10:32:00,1.25,12717,Greece,12.5,2011,4,8,10:32:00,Friday,10,Morning
1270,549325,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-04-08 10:32:00,1.25,12717,Greece,15.0,2011,4,8,10:32:00,Friday,10,Morning
1271,549325,22831,WHITE BROCANTE SOAP DISH,6,2011-04-08 10:32:00,2.95,12717,Greece,17.700000000000003,2011,4,8,10:32:00,Friday,10,Morning
1272,549368,20973,12 PENCIL SMALL TUBE WOODLAND,13,2011-04-08 11:26:00,0.65,18036,United Kingdom,8.450000000000001,2011,4,8,11:26:00,Friday,11,Morning
1273,549372,22507,MEMO BOARD RETROSPOT  DESIGN,2,2011-04-08 11:28:00,4.95,14958,United Kingdom,9.9,2011,4,8,11:28:00,Friday,11,Morning
1278,549522,22489,PACK OF 12 TRADITIONAL CRAYONS,24,2011-04-08 15:34:00,0.42,16873,United Kingdom,10.08,2011,4,8,15:34:00,Friday,15,Afternoon
1279,549546,21716,BOYS VINTAGE TIN SEASIDE BUCKET,2,2011-04-10 11:24:00,2.55,16889,United Kingdom,5.1,2011,4,10,11:24:00,Sunday,11,Morning
1280,549546,22730,ALARM CLOCK BAKELIKE IVORY,2,2011-04-10 11:24:00,3.75,16889,United Kingdom,7.5,2011,4,10,11:24:00,Sunday,11,Morning
1282,549555,35914,PINK CHICK EGG WARMER + EGG CUP,1,2011-04-10 12:52:00,0.85,13606,United Kingdom,0.85,2011,4,10,12:52:00,Sunday,12,Morning
1283,549556,22982,PANTRY PASTRY BRUSH,4,2011-04-10 12:53:00,1.25,17372,United Kingdom,5.0,2011,4,10,12:53:00,Sunday,12,Morning
1284,549567,22456,NATURAL SLATE CHALKBOARD LARGE ,1,2011-04-10 15:07:00,4.95,13632,United Kingdom,4.95,2011,4,10,15:07:00,Sunday,15,Afternoon
1285,549568,22951,60 CAKE CASES DOLLY GIRL DESIGN,24,2011-04-10 15:09:00,0.55,15665,United Kingdom,13.200000000000001,2011,4,10,15:09:00,Sunday,15,Afternoon
1286,549570,22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,2,2011-04-10 15:19:00,2.95,17550,United Kingdom,5.9,2011,4,10,15:19:00,Sunday,15,Afternoon
1287,549576,23158,SET OF 5 LUCKY CAT MAGNETS ,12,2011-04-11 08:14:00,2.08,17069,United Kingdom,24.96,2011,4,11,08:14:00,Monday,8,Morning
1288,549578,22413,METAL SIGN TAKE IT OR LEAVE IT ,12,2011-04-11 08:49:00,2.95,17340,United Kingdom,35.400000000000006,2011,4,11,08:49:00,Monday,8,Morning
1289,549589,22087,PAPER BUNTING WHITE LACE,6,2011-04-11 10:04:00,2.95,16552,United Kingdom,17.700000000000003,2011,4,11,10:04:00,Monday,10,Morning
